,embedding__n_grams,embedding__tipo_embedding,model__model_type,normalization__tipo_normalizacao,preprocessing__aplicar_processamento,mean_test_score,std_test_score
61,1,TF-IDF,DecisionTree,nenhuma,False,0.6281779811652155,0.035121608505399235
62,1,TF-IDF,DecisionTree,minmax,True,0.6640714461550629,0.021604882320214968
63,1,TF-IDF,DecisionTree,minmax,False,0.623525931825172,0.0328786873186183
64,1,TF-IDF,DecisionTree,standard,True,0.6654557812175653,0.02255496243105296
65,1,TF-IDF,DecisionTree,standard,False,0.6331380142832296,0.036733928353233816
66,1,TF-IDF,RandomForest,nenhuma,True,0.7177793599617077,0.014263795852856595
67,1,TF-IDF,RandomForest,nenhuma,False,0.6873426925952733,0.018438598909678833
68,1,TF-IDF,RandomForest,minmax,True,0.7141241988745296,0.006832164800880492
69,1,TF-IDF,RandomForest,minmax,False,0.6878868003896027,0.02278658082027865
70,1,TF-IDF,RandomForest,standard,True,0.7128597995221259,0.005380533707057787
71,1,TF-IDF,RandomForest,standard,False,0.6883451433726581,0.022408114348318246
72,1,WORD2VEC,LogisticRegression_None,nenhuma,True,0.486485411263069,0.019892680145738185
73,1,WORD2VEC,LogisticRegression_None,nenhuma,False,0.49459201710384004,0.030658206292669802
74,1,WORD2VEC,LogisticRegression_None,minmax,True,0.4588326057871659,0.012537663720457087
75,1,WORD2VEC,LogisticRegression_None,minmax,False,0.4754802501984779,0.01315326481981784
76,1,WORD2VEC,LogisticRegression_None,standard,True,0.49166870166870164,0.011608232410672369
77,1,WORD2VEC,LogisticRegression_None,standard,False,0.5124915689036175,0.028767985402926907
78,1,WORD2VEC,LogisticRegression_L1,nenhuma,True,0.4854432666604242,0.011875756053214746
79,1,WORD2VEC,LogisticRegression_L1,nenhuma,False,0.5038656815450956,0.020580700833596897
80,1,WORD2VEC,LogisticRegression_L1,minmax,True,0.45403784471600567,0.013239134079030927
81,1,WORD2VEC,LogisticRegression_L1,minmax,False,0.4647427314384336,0.009776284603670839
